Breast, surgery of	7626	GYN Breast conditions and disorders	Breast	Special Examinations (Gynecological/Breasts)
Breathing condition (unspecified)	6699	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Bronchi and trachea, diseases of	6600 to 6604	RESP Respiratory conditions/ENT Sinusitis, rhinitis & other ENT conditions (ie nose, throat, larynx and pharynx)	Resp/Sinus	Respiratory (Respiratory [Obstructive & Restrictive])
Bronchial asthma	6602	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Bronchiectasis	6601	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Bronchitis, chronic	6600	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Bronchus, lung, larynx, or trachea, cancer of	6819	RESP Respiratory conditions/ENT Sinusitis, rhinitis & other ENT conditions (ie nose, throat, larynx and pharynx)	Resp/Sinus	Respiratory (Resp. Diseases) or Specialist Exams (Oncology)--BACK
Brucellosis	6316	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Buccal leukoplakia	7344-7200	DENTAL Dental and oral (other than TMJ) (in addition to dental conditions, this DBQ includes conditions of the mouth, lips and tongue)	Dental	Digestive (Mouth, Lips &Tongue)
Buergers disease (thrombo-angiitis obliterans)	7115	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Bulbar palsy	8005	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Bulimia nervosa	9521	PSYCH Eating disorders	Eating	Mental Disorders (Eating Disorders)
Bullous disorders	7815	DERM Skin	Skin	Skin (Skin Disease)
Bundle branch block	7099-7015	CARDIO Heart	Heart	Cardiovascular System (Heart)
Bunion	5280	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Burn scar(s) or scar(s) due to other causes, not of the head, face, or neck, that are associated with underlying soft tissue damage	7801	DERM Scars	Scar	Skin (Scars)
Burn scar(s) or scar(s) due to other causes, not of the head, face, or neck, that are not associated with underlying soft tissue damage	7802	DERM Scars	Scar	Skin (Scars)
Burns	7801/7802	DERM Scars	Scar	Skin (Scars)
Bursectomy	5019	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Bursitis	5019	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Buttocks, injury	5317	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Bypass, coronary artery	7017	CARDIO Heart	Heart	Cardiovascular System (Heart)
C-cell hyperplasia of thyroid	7919	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
CABG (coronary artery bypass graft)	7017	CARDIO Heart	Heart	Cardiovascular System (Heart)
CAD (coronary artery disease)	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Caisson disease of bones	5011	MUSC Arthritis (non-degenerative)	Arth	Musculoskeletal (Bone Disease/Fractures)
Calcified iliac vessels	7199-7110	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Calcified tendonitis	5099-5024	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Calculus of the gallbladder	7315	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Calculus, bladder	7515	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Calculus, kidney	7508	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Calculus, prostate	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Calculus, ureteral	7510	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Calluses with pes planus	5276	MUSC Foot Conditions including flatfoot (pes planus)	Flatfoot	Musculoskeletal (Feet)
Calluses, foot	5299-7819	MUSC Foot Conditions including flatfoot (pes planus)/DERM Skin	FootMisc/Skin	Musculoskeletal (Feet)
Carcinoma: Abdominal	7343	GI Esophagus/Gallbladder & pancreas/Liver conditions/Intestines/Stomach & duodenum/GEN SURG Rectum & anus	Esoph/GB/Liver/Stomach/Rectum	Specialist Exams (Digestive [Gastroenterology])*
Carcinoma: Basal cell	7818	DERM Skin	Skin	Skin (Skin Disease)*
Carcinoma: Bile duct	7343	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Bladder, urinary	7528	GU Urinary tract (bladder and urethra)	Ur tract	Specialist Exams (GU-Urology)--BACK of worksheet*
Carcinoma: Bones	5012	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Specialist Exams (Ortho)--BACK of worksheet*
Carcinoma: Brain	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Carcinoma: Breast	7630	GYN Breast conditions and disorders	Breast	Special Exams (Gyn/Breasts)*
Carcinoma: Bronchogenic	6819	RESP Respiratory conditions	Resp	Respiratory (Resp. Diseases)*
Carcinoma: Cervical lymph gland	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (Hematology)--BACK of worksheet*
Carcinoma: Colon	7343	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Common bile duct	7343	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Epidermoid, anterior tonsillar piliar	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Epidermoid, tongue	7343	DENTAL Dental & oral (other than TMJ)	Dental	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Esophageal	7343	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Gall bladder	7343	GI Gallbladder & pancreas	GB	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Kidney	7528	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet*
Carcinoma: Laryngeal	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Liver	7343	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Lung, bronchus, larynx, or trachea	6819	RESP Respiratory conditions	Resp	Respiratory (Resp. Diseases)*
Carcinoma: Lymph glands	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (Hematology)--BACK of worksheet*
Carcinoma: Lymph nodes	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (Hematology)--BACK of worksheet*
Carcinoma: Muscle	5327	MUSC Muscle injuries	Muscle	Specialist Exams (Ortho)--BACK of worksheet*
Carcinoma: Nasopharyngeal	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Pancreatic	7343	GI Gallbladder & pancreas	GB	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Peritoneal	7343	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Pharyngeal squamous cell	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Prostate	7528	GU Prostate cancer	Prostate	Specialist Exams (GU-Urology)--BACK of worksheet*
Carcinoma: Rectal	7343	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Rectosigmoid	7343	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Renal	7528	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet*
Carcinoma: Respiratory	6819	RESP Respiratory conditions	Resp	Respiratory (Resp. Diseases)*
Carcinoma: Sacral region	5012	MUSC Back (thoracolumbar spine)	Back	Specialist Exams (Ortho)--BACK of worksheet*
Carcinoma: Skin	7818	DERM Skin	Skin	Specialist Exams (Skin [Dermatology])--BACK of worksheet*
Carcinoma: Small intestine	7343	GI Intestines (other than surgical or infectious)	GI other	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Stomach	7343	GI Stomach & duodenum	Stomach	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Thyroid	7914	ENDO Thyroid & parathyroid	Thyroid	Specialist Exams Endocrine (Endocrinology)--BACK of worksheet*
Carcinoma: Tongue	7343	DENTAL Dental & oral (other than TMJ)	Dental	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Carcinoma: Tonsil	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Trachea	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Carcinoma: Urinary bladder	7528	GU Urinary tract (bladder and urethra)	Ur tract	Specialist Exams (GU-Urology)--BACK of worksheet*
Carcinoma: Urinary tract	7528	GU Urinary tract (bladder and urethra)	Ur tract	Specialist Exams (GU-Urology)--BACK of worksheet*
Carcinoma: Vocal cells with layryngectomy	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Cardiac hypertrophy	7099-7007	CARDIO Heart	Heart	Cardiovascular System (Heart)
Cardiac pacemaker, implantable	7018	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Cardiac transplantation	7019	CARDIO Heart	Heart	Cardiovascular System (Heart)
Cardiomegaly, congestive	7099-7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Cardiomyopathy	7020	CARDIO Heart	Heart	Cardiovascular System (Heart)
Cardiospasm (achalasia, esophageal spasm)	7204	CARDIO Heart/GI Esophagus (including GERD & hiatal hernia)	Heart/Esoph	Digestive (Esophagus & Hiatal Hernia)
Cardiovascular disease, hypertensive	7007	CARDIO Heart	Heart	Cardiovascular System (Heart)
Cardiovascular-renal disease	7534	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Carpal tunnel syndrome	8515	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Cartilage, semilunar, dislocated	5258	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Cartilage, semilunar, removal of	5259	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Cataract, posterior subcapsular	6028	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Cataract, senile	6028	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Cataract, traumatic	6027	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Catarrhal fever	6699-6601	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Cavernous hemangioma of esophagus	7344	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Cecum, perforation of	7329	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Celiotomy for duodenal ulcer	7305	GI Intestines (other than surgical or infectious)	GI other	Digestive (Stomach, Duodenum, Peritoneal)
Cellulitis with dermatitis	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Cellulitis with varicosities	7199-7120	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Central nervous system disease	8099	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cephalgia (headache)	8199-8100	NEURO Headaches (including migraine headaches)	HA	Neurologic (Neurological Disorders, Misc.)
Cephalgia with syncopal attacks	8999-8910	NEURO Headaches (including migraine headaches)	HA	Neurologic (Epilepsy & Narcolepsy)
Cerebellar degenerative disease	8099-8014	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral aneurysm	8099-8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral aqauductal shunt	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral arteriosclerosis	8046	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral arteriosclerosis with vascular insufficiency	8046-resid	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral concussion, residuals	8045-resid	NEURO TBI Initial/Review	TBI-I/TBI-R	Neurologic (Brain and Spinal Cord)
Cerebral embolism, residuals	8007-resid	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebral infarction, residuals	8008-resid	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebrovascular accident (CVA)	8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebrovascular accident with aphasia	8009-8210	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebrovascular accident with ataxia	8009-8513/	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebrovascular accident with hemiparesis	8009-8513/	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Cerebrovascular accident with homonymous hemanopsia	8009-6080	NEURO Central nervous system/OPTO Eyes	CNS/Eyes	Organs of Sense (Eye Examination)
Cervical radiculitis	8510	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Cervical spine residuals of torticollis	8299-8211	NEURO Cranial nerves/MUSC Neck (cervical spine)	C Nerves/Neck	Neurologic (Cranial Nerves)
Cervical spine, straightening of	5320	MUSC Muscle injuries/Neck (cervical spine)	Muscle/Neck	Musculoskeletal (Spine)
Cervicitis	7612	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Cervix, disease or injury of	7612	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Chalazion	6099-6015	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Cheilitis	7299-7201	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Cheilosis	7299-7201	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Chest wall defect, traumatic	6843	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
CHF (congestive heart failure)	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Chloracne	7829	DERM Skin	Skin	Skin (Skin Disease)
Cholangitis, chronic	7316	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Cholecystitis, chronic	7314	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Cholelithiasis, chronic	7315	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Cholera, Asiatic	6300	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Cholestasis	7399-7314	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Cholesteatoma	6209	ENT Ear conditions/AUDIO Hearing loss & tinnitus	Ear/Audio	Organs of Sense (Ear Disease)
Chondromalacia patella	5299-5257	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Chondrosarcoma	5012	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Specialist Exams (Ortho) or (Oncology)--BACK of worksheet
Chorea, Huntington's	8106	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Chorea, Sydenham's	8105	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Chorioretinitis	6006	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Choroiditis	6005	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Chronic adjustment disorder	9440	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Chronic brain syndrome	9310	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Chronic dysentery	7322	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Chronic fatigue syndrome	6354	RHEUM Chronic fatigue syndrome	Fatigue	Infectious/Immune/Nutrition (Chronic Fatigue Syndrome)
Chronic lung abscess	6824	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Chronic lymphatic lymphocytic leukemia	7703	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (Hematology) or (Oncology)--BACK of worksheet
Chronic lymphocytic leukemia	7703	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (Hematology) or (Oncology)--BACK of worksheet
Chronic Myelogenous Leukemia (CML - chronic myeloid leukemia or chronic granulocytic leukemia)	7719	HEM Hemic & lymphatic, including leukemia	HEM	Hemic and Lymphatic (Hemic Disorders)
Chronic obstructive pulmonary disease (COPD)	6604	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Chronic pleural effusion or fibrosis	6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Chronic renal disease requiring regular dialysis	7530	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Chronic urticaria	7825	DERM Skin	Skin	 
Cicatrix (scar)	7805	DERM Scars	Scar	Skin (Scars)
Circumcision	7599-7805	GU Male reproductive system/DERM Scars	Male/Scar	Special Examinations (Genitourinary)
Cirrhosis of the liver	7312	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions)	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Claudication	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Clavicle or scapula, impairment of	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Clavicle, malunion	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Claw foot (pes cavus), acquired	5278	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Clear cell sarcoma of tendons and aponeuroses	5012	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Specialist Exams (Ortho) or (Oncology)--BACK of worksheet
Clouded state	9299-9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Club foot	5299	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
